(-9.6, 2.4)
(-9.3, 0.5)
(-10.1, -1.7)
(-8.3, -3.3)
(-6.6, -4.3)
(-4.6, -4.8)
(-2.5, -5.6)
(-1.5, -7.2)
(0.3, -8.9)
(1.8, -7.6)
(3.8, -6.3)
(4.7, -6.2)
(6.4, -5.1)
(8.5, -6.2)
(9.4, -6.8)
(11.3, -6.5)
(12.2, -4.8)
(-11.0, 7.0)
(-8.8, 6.9)
(-8.1, 9.0)
(-5.9, 9.0)
(-4.3, 10.2)
(-2.4, 11.2)
(-0.2, 11.5)
(1.7, 9.9)
(8.9, -7.5)
(8.5, -9.3)
(7.2, -9.9)
(5.7, -10.1)
(3.8, -8.8)
(1.8, -7.6)
(0.3, -8.9)
(-1.1, -8.4)
(-2.3, -8.2)
(-4.0, -9.9)
